Partido\Canton,SAN JOSE,ESCAZU,DESAMPARADOS,PURISCAL,TARRAZU,ASERRI,MORA,GOICOECHEA,SANTA ANA,ALAJUELITA,VAZQUEZ DE CORONADO,ACOSTA,TIBAS,MORAVIA,MONTES DE OCA,TURRUBARES,DOTA,CURRIDABAT,PEREZ ZELEDON,LEON CORTES CASTRO,ALAJUELA,SAN RAMON,GRECIA,SAN MATEO,ATENAS,NARANJO,PALMARES,POAS,OROTINA,SAN CARLOS,ZARCERO,VALVERDE VEGA,UPALA,LOS CHILES,GUATUSO,CARTAGO,PARAISO,LA UNION,JIMENEZ,TURRIALBA,ALVARADO,OREAMUNO,EL GUARCO,HEREDIA,BARVA,SANTO DOMINGO,SANTA BARBARA,SAN RAFAEL,SAN ISIDRO,BELEN,FLORES,SAN PABLO,SARAPIQUI,LIBERIA,NICOYA,SANTA CRUZ,BAGACES,CARRILLO,CANAS,ABANGARES,TILARAN,NANDAYURE,LA CRUZ,HOJANCHA,PUNTARENAS,ESPARZA,BUENOS AIRES,MONTES DE ORO,OSA,QUEPOS,GOLFITO,COTO BRUS,PARRITA,CORREDORES,GARABITO,LIMON,POCOCI,SIQUIRRES,TALAMANCA,MATINA,GUACIMO
ACCESIBILIDAD SIN EXCLUSION,416,94,397,54,31,107,38,167,42,145,124,34,94,79,53,7,17,100,320,20,450,139,125,8,46,52,45,61,19,281,12,30,70,26,17,270,212,192,37,127,33,100,90,175,37,57,50,67,26,28,20,31,89,163,58,105,24,54,33,27,25,21,11,7,157,29,59,19,44,56,80,106,19,70,16,225,423,141,30,56,114
ACCION CIUDADANA,34657,7246,24445,4651,2293,6424,3686,15556,5701,5813,10608,2934,9852,9120,10987,378,1243,9016,11554,1479,29960,14033,9328,470,4028,5525,5862,3596,1319,11928,1618,1877,1646,791,404,24665,8478,11902,2042,10185,1938,7171,6147,20130,7331,6906,4739,7442,3393,3841,3389,4689,2589,4384,3347,3319,1401,1571,1557,1156,1936,898,713,807,6518,2140,1530,1211,1011,1166,1590,2060,572,1716,814,3277,7438,2030,872,731,1702
ALIANZA DEMOCRATA CRISTIANA,575,60,388,43,34,84,43,270,60,132,181,33,172,119,102,2,8,128,209,16,420,131,141,4,46,72,39,49,19,246,20,30,51,24,21,3295,421,397,128,461,76,602,540,220,69,82,50,69,34,23,23,38,74,74,83,64,17,50,28,65,21,18,14,4,107,39,61,17,68,39,75,82,14,95,10,274,317,102,70,76,164
DE LOS TRABAJADORES,303,69,219,25,11,59,14,113,65,89,80,15,68,53,70,7,10,62,153,12,259,107,85,5,26,50,57,25,15,105,21,25,45,54,9,174,69,83,19,71,19,52,40,130,42,35,27,46,27,14,18,24,38,51,41,54,17,25,17,12,11,9,13,5,92,19,36,9,22,17,32,38,16,32,11,97,200,57,26,35,38
FRENTE AMPLIO,1260,227,816,109,96,201,91,516,100,217,306,82,272,280,362,6,41,294,562,51,783,440,341,19,95,103,171,85,41,719,39,77,127,103,35,575,268,378,94,337,25,285,135,566,269,167,123,220,87,120,83,115,146,178,248,143,83,66,75,51,30,39,20,9,369,105,194,38,133,47,118,96,32,175,40,266,381,274,268,94,151
INTEGRACION NACIONAL,15513,2674,10014,1945,494,2700,1324,5432,2043,3543,3209,1207,3556,2708,2249,207,299,2598,5914,429,11787,4534,3325,255,1196,1831,1958,1174,799,7029,390,915,1052,824,392,9491,6342,4145,776,3022,735,2779,2549,5073,1925,2051,1702,2064,1031,999,1094,1075,2061,2635,2617,3722,785,1365,1170,985,661,579,638,496,6470,1409,2060,558,1396,1287,1601,1433,625,1728,895,4336,6829,1737,724,771,1413
LIBERACION NACIONAL,27669,7261,19343,4982,1498,6024,2584,9590,5528,4020,6063,2478,6862,5379,5323,1148,764,6728,11294,1344,23677,6922,7314,860,2466,3913,4264,3272,2316,12430,1919,1594,3307,1049,1544,19042,5418,8441,2105,7631,1562,5452,5693,12235,4065,4732,3193,4039,2268,2965,2532,2676,3075,5346,6603,5625,1467,3327,2331,1934,2207,1330,1617,1150,8041,2985,3110,1054,1973,1739,2578,3524,1453,3360,1463,5553,9586,4460,1614,2246,3225
MOVIMIENTO LIBERTARIO,1608,407,1182,147,65,296,139,650,269,433,417,68,393,299,265,22,18,351,583,62,1338,445,255,39,117,139,139,114,62,695,46,126,192,63,77,951,316,599,72,292,59,259,266,701,256,223,187,224,119,149,94,124,333,216,232,211,59,149,80,127,63,106,44,59,399,114,236,54,122,110,160,236,103,178,93,357,884,302,78,122,220
NUEVA GENERACION,1316,262,887,129,60,204,135,576,213,517,317,54,343,311,288,5,31,277,431,39,1070,464,283,10,87,162,158,89,52,440,45,61,63,23,32,856,269,468,81,186,96,189,216,693,274,239,173,243,103,107,112,132,131,159,116,87,47,77,47,26,51,48,22,11,312,84,144,43,61,78,54,71,16,62,22,162,267,95,38,28,67
RENOVACION COSTARRICENSE,769,156,593,98,66,167,74,387,98,239,218,72,163,154,133,8,24,122,448,59,641,228,202,9,66,118,94,72,30,362,29,38,95,51,23,613,282,300,46,267,57,220,170,360,111,201,87,129,65,49,52,66,116,185,126,120,47,69,69,50,49,47,38,22,250,47,169,36,48,58,100,83,25,101,37,335,382,202,92,67,137
